crop,price,location,state,date,seasonality,marketing_spend,competitor_price,special_event,supply,demand
Jowar,2800,Cuddapah,Andhra Pradesh,2022-01-15,1.2,95252.13808729808,2561.4716313183403,0,18700.885196861163,28397.32611045248
Jowar,2563,Cuddapah,Andhra Pradesh,2022-02-14,1.2,95368.19477780553,2553.648591616284,0,23764.68778474085,31072.069689291893
Jowar,2300,Cuddapah,Andhra Pradesh,2022-03-15,1.0,76691.57915905594,2482.041984757184,0,26352.160655442185,25720.780225180275
Jowar,2270,Cuddapah,Andhra Pradesh,2022-04-15,1.0,90924.07508896981,2128.42990451414,0,17797.039980195055,22197.3477118397
Jowar,2388,Cuddapah,Andhra Pradesh,2022-05-15,1.0,92887.50491094864,2307.375757579912,0,19858.82184277197,29281.33877908991
Jowar,2736,Cuddapah,Andhra Pradesh,2022-06-14,0.9,56183.797499092594,2679.1579392762646,0,17018.699132498623,23648.379597782914
Jowar,2880,Cuddapah,Andhra Pradesh,2022-07-14,0.9,104356.35870629689,2929.6631298396933,0,26301.33055658178,42922.97431012745
Jowar,3200,Cuddapah,Andhra Pradesh,2022-08-13,0.9,72494.74198710534,3468.3227177768395,0,34683.43311066543,25347.464443872286
Jowar,3480,Cuddapah,Andhra Pradesh,2022-09-12,1.0,72354.4497197782,3406.599288936728,0,21455.088816336232,23699.717933204527
Jowar,3725,Cuddapah,Andhra Pradesh,2022-10-12,1.0,162916.28286296505,3404.018866304934,1,41525.71736660507,59320.691914003575
Jowar,3825,Cuddapah,Andhra Pradesh,2022-11-11,1.2,106180.07168277973,3708.682408994709,0,34340.59046429508,39482.42545899273
Jowar,3880,Cuddapah,Andhra Pradesh,2022-12-11,1.2,117252.25099624162,3639.5062801774798,0,45713.47147036336,49735.53248524762
Jowar,3725,Cuddapah,Andhra Pradesh,2023-01-15,1.2,81661.4526647544,3838.071986720232,1,30352.677338001773,26545.704673458542
Jowar,3975,Cuddapah,Andhra Pradesh,2023-02-14,1.2,100905.40606395132,3600.7633767880293,0,42472.844722091264,43096.477312776355
Jowar,3860,Cuddapah,Andhra Pradesh,2023-03-15,1.0,165857.03795425236,3699.3699376684126,0,42954.189942828336,67916.84562413735
Jowar,3425,Cuddapah,Andhra Pradesh,2023-04-15,1.0,119210.29280640179,3455.943852454345,0,40774.878420755456,34123.023733496346
Jowar,3483,Cuddapah,Andhra Pradesh,2023-05-15,1.0,161681.04765186502,3327.8910079341194,0,43779.18479660414,28692.49305253107
Jowar,3550,Cuddapah,Andhra Pradesh,2023-06-14,0.9,113306.28700121795,3586.2066511751304,0,22590.485701446734,33835.83211192177
Jowar,4088,Cuddapah,Andhra Pradesh,2023-07-14,0.9,114713.45823290346,3772.988794620241,0,59899.12330114734,23805.288588125026
Jowar,4538,Cuddapah,Andhra Pradesh,2023-08-13,0.9,138082.23874040073,4939.890260899381,0,60974.62896236771,55390.22623698637
Jowar,5080,Cuddapah,Andhra Pradesh,2023-09-12,1.0,210226.42133197625,4867.561316247165,0,53965.79415600975,69718.51406021604
Jowar,5430,Cuddapah,Andhra Pradesh,2023-10-12,1.0,199010.4240232878,5889.378911577414,0,75496.48668326484,51794.04319208303
Jowar,5913,Cuddapah,Andhra Pradesh,2023-11-11,1.2,278654.4783077252,5707.032990757602,0,52178.26139670172,113027.87692424867
Jowar,6260,Cuddapah,Andhra Pradesh,2023-12-11,1.2,238287.29489123225,6612.8639193485815,0,33446.338130543954,82301.07005335962
Jowar,2225,Rajkot,Gujarat,2022-01-15,1.2,77408.96541614033,2112.0533740702576,0,27301.448224311735,21409.982341914085
Jowar,2538,Rajkot,Gujarat,2022-02-14,1.2,110587.21239673585,2624.174694852962,0,36632.07451063904,29483.84278847117
Jowar,2626,Rajkot,Gujarat,2022-03-15,1.0,127166.71676078081,2533.4157554997173,0,17380.30346548744,46033.18838605011
Jowar,2516,Rajkot,Gujarat,2022-04-15,1.0,77179.24938077039,2520.6088738183007,1,28779.868506931,27366.5352916176
Jowar,2494,Rajkot,Gujarat,2022-05-15,1.0,68575.73804458104,2580.698495906924,0,32756.833482668782,30790.524987331744
Jowar,2575,Rajkot,Gujarat,2022-06-14,0.9,99102.79386372224,2620.774490179525,0,36180.47657968064,17039.52615203989
Jowar,2975,Rajkot,Gujarat,2022-07-14,0.9,104024.39928798386,3020.3869530037987,1,23101.700833676783,31149.189287208985
Jowar,3125,Rajkot,Gujarat,2022-08-13,0.9,155236.14764357344,2853.5505222860106,0,19647.93154327286,52571.653123388605
Jowar,3185,Rajkot,Gujarat,2022-09-12,1.0,107878.66847531592,3025.1619420933043,0,23819.026126948524,32622.90001508721
Jowar,3301,Rajkot,Gujarat,2022-10-12,1.0,73381.05353121505,3348.428299163289,0,35575.591370041664,28636.267850101336
Jowar,3463,Rajkot,Gujarat,2022-11-11,1.2,170798.8717241886,3129.3864977176113,0,49130.55952244026,63323.21547205011
Jowar,3740,Rajkot,Gujarat,2022-12-11,1.2,169450.4552955952,3553.481902826753,0,40486.839338824124,47543.01494534084
Jowar,4375,Rajkot,Gujarat,2023-01-15,1.2,110895.33139448268,4138.037084502297,0,62108.43191157485,60500.37533503038
Jowar,4681,Rajkot,Gujarat,2023-02-14,1.2,220653.71569464027,4446.815290332574,0,59450.43307898597,69738.44791676142
Jowar,5055,Rajkot,Gujarat,2023-03-15,1.0,152762.12337761756,5091.001204061888,0,55523.587413682755,46423.48401455891
Jowar,4826,Rajkot,Gujarat,2023-04-15,1.0,151118.27312089686,4905.108133699325,0,25181.996057048287,56474.27900612815
Jowar,4163,Rajkot,Gujarat,2023-05-15,1.0,196459.23223221005,4503.531730114803,0,34680.944216683754,75686.28005286158
Jowar,4590,Rajkot,Gujarat,2023-06-14,0.9,164796.91330536292,4485.3765030060695,0,25587.393676623196,51500.55011171652
